,S3,S4,S5,S6,S7,S8,S9,S10
1600,,,,+AC0-0.798,+AC0-0.845,+AC0-0.915,,
1600,,,,+AC0-0.82,+AC0-0.82,+AC0-0.82,,
1800,,,,+AC0-0.912,+AC0-0.97,+AC0-1.05,,
1800,,,,+AC0-0.92,+AC0-0.92,+AC0-0.92,,
2000,,,,+AC0-1.012,+AC0-1.07,+AC0-1.15,,
2000,,,,+AC0-1,+AC0-1,+AC0-1,,
2240,,,,+AC0-1.11,+AC0-1.175,+AC0-1.28,,
2240,,,,+AC0-1.1,+AC0-1.1,+AC0-1.1,,
2500,,,,+AC0-1.21,+AC0-1.275,+AC0-1.38,,
2500,,,,+AC0-1.25,+AC0-1.25,+AC0-1.25,,
2800,,,,+AC0-1.385,+AC0-1.46,+AC0-1.58,,
2800,,,,+AC0-1.4,+AC0-1.4,+AC0-1.4,,
3150,,,,+AC0-1.535,+AC0-1.61,+AC0-1.73,,
